,Station,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
80,Ishoej,55.6094468,12.3582555,5,4,0,5,5,3,8,4,13,4
81,Islev,55.6988768,12.469386,2,4,0,6,4,4,4,0,7,1
82,Jersie,55.5214056,12.2089516,0,2,0,5,0,4,9,0,4,2
83,Jyllingevej,55.6903652,12.4779237,12,3,1,29,5,10,20,3,22,6
84,Jaegersborg,55.7617434,12.5212336,2,5,0,5,2,8,19,2,12,3
85,Karlslunde,55.56625160000001,12.2697441,2,0,1,4,1,3,2,1,2,3
86,KB Hallen,55.67781379999999,12.492338900000002,4,6,1,25,6,20,24,5,31,9
87,Kildebakke,55.74430129999999,12.5068199,1,2,0,12,4,6,15,0,16,4
88,Kildedal,55.75164670000001,12.286682,0,0,0,0,1,3,5,0,1,2
89,Klampenborg,55.7769265,12.587497,7,0,0,16,6,3,3,1,3,5
90,Koebenhavn H,55.67228710000001,12.5645166,54,33,1,132,105,68,65,11,72,91
91,Koege,55.4565009,12.1818964,5,5,0,17,4,5,11,0,23,4
92,Koege Nord,55.4996144,12.171369300000002,1,1,0,1,0,3,2,0,1,4
93,Langgade,55.6668909,12.5034498,5,4,0,44,5,13,28,7,53,13
94,Lyngby,55.7686229,12.5036301,5,7,0,30,4,10,39,2,67,10
95,Malmparken,55.7246625,12.3857045,2,4,0,5,1,2,26,0,7,4
96,Måloev,55.7473861,12.3181279,0,3,0,4,0,4,5,0,8,4
97,Nordhavn,55.7049724,12.5910174,12,5,1,92,22,41,49,18,51,20
98,Ny Ellebjerg,55.65377420000001,12.5139609,5,3,0,19,7,17,32,6,16,5
99,Noerrebro,55.7010822,12.5376485,7,15,0,87,27,47,31,4,70,16
100,Noerreport,55.683359,12.571630099999998,58,61,0,62,45,80,73,14,119,61
101,Ordrup,55.76475010000001,12.5831428,3,4,0,11,0,6,8,3,8,4
102,Peter Bangs Vej,55.67803249999999,12.5036407,2,16,0,25,6,19,25,7,26,11
103,Ryparken,55.7154843,12.5596915,3,8,0,17,6,17,33,2,26,5
104,Roedovre,55.6648012,12.4591846,6,4,0,7,5,2,6,0,13,6
105,Skovbrynet,55.7651626,12.4337301,0,2,0,6,1,9,3,0,3,3
106,Skovlunde,55.7230635,12.4027132,1,4,0,5,4,4,4,0,8,4
107,Sjæloer,55.6515213,12.5267123,16,5,0,22,6,12,30,4,14,7
108,Solroed Strand,55.534253,12.2193108,3,7,0,4,4,5,6,0,9,1
109,Sorgenfri,55.78121289999999,12.4835887,1,5,0,3,1,4,5,0,5,3
110,Stengaarden,55.7567178,12.4731006,2,3,0,5,1,19,2,0,5,2
111,Stenloese,55.7682789,12.1985549,0,4,0,4,0,5,8,0,5,2
112,Svanemoellen,55.71553420000001,12.578825300000002,1,6,0,27,7,27,33,7,44,8
113,Sydhavn,55.6548839,12.5376084,2,7,0,26,8,14,30,3,19,9
114,Taastrup,55.6522136,12.292049,6,9,0,20,5,4,12,2,22,5
115,Valby,55.6634765,12.513200234670956,11,3,0,43,6,19,44,9,59,15
116,Vallensbaek,55.62313029999999,12.3885964,2,3,0,5,2,6,6,0,12,5
117,Vangede,55.7392848,12.5242143,3,3,0,7,3,3,5,1,13,3
118,Vanloese,55.68562489999999,12.488809300000002,4,5,1,38,5,15,33,6,33,13
119,Veksoe,55.749917,12.2405908,0,1,0,1,0,1,1,0,3,2
120,Vesterport,55.675817,12.56241,51,48,1,199,121,67,60,2,81,78
121,Vigerslev Allee,55.6597688,12.4990504,5,8,0,18,13,10,26,6,30,8
122,Virum,55.7939593,12.4694709,1,9,0,6,1,4,8,0,6,6
123,Værloese,55.7812034,12.3737398,6,1,0,7,2,5,6,0,15,3
124,Oelby,55.4800527,12.1753286,0,5,0,4,0,5,4,0,13,6
125,Oelstykke,55.7957669,12.1593166,1,2,0,4,1,2,8,0,3,1
126,Oesterport,55.6931925,12.5884166,22,12,0,76,11,47,50,15,49,35
127,Aalholm,55.67257779999999,12.4929013,4,5,0,15,5,14,10,3,21,7
128,Aamarken,55.63976829999999,12.4998659,0,5,0,6,1,4,3,0,5,2
129,Favrholm,55.90824325,12.285669011494058,1,0,0,3,0,0,4,0,2,1
130,Vinge,55.8120424,12.1213844,0,0,0,0,0,0,1,0,0,1
